,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9652087475149106,0.9885764499121266,0.935666982024598,0.9456838021338506,0.9563492063492064,0.9510807736063709,0.9850267379679144,0.982089552238806,0.9811715481171548,0.9725888324873097,0.9664,0.9663442632352247,0.9666433674031814
recall,0.9908163265306122,0.9911894273127754,0.9583333333333334,0.9653465346534653,0.9816700610997964,0.9372197309417041,0.9613778705636743,0.9601167315175098,0.9630390143737166,0.9494549058473737,0.9664,0.9658563936173961,0.9664
f1-score,0.9778449144008057,0.9898812142542894,0.9468645284825276,0.9554140127388535,0.9688442211055276,0.9440993788819876,0.9730586370839936,0.970978848991638,0.9720207253886011,0.9608826479438315,0.9664,0.9659889129272056,0.9664112421033673
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9664,10000.0,10000.0
