0,1,2,3,4,5,6,7,8,9
261,6,35,132,65,35,177,36,191,42
2,1033,0,0,36,1,20,39,3,1
153,1,77,296,23,146,109,47,148,32
161,0,53,360,21,139,57,19,171,29
45,49,16,18,306,15,139,226,94,74
90,1,45,348,19,187,33,37,107,25
154,23,44,65,101,24,290,81,129,47
32,49,23,31,186,34,123,418,60,72
163,1,20,145,81,27,138,36,318,45
121,19,41,60,186,27,155,159,132,109
